Attribute     Value
type          IPv6
string        2001:db8::3
host          2001:db8::3
address       2001:db8::3
port          0
netmask       ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff
network       2001:db8::3
mask_bits     128
binary        00100000000000010000110110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011
hex           20010db8000000000000000000000003
first_usable  2001:db8::3
last_usable   2001:db8::3
octets        32 1 13 184 0 0 0 0 0 0 0 0 0 0 0 3
size          1
uint128       42540766411282592856903984951653826563
DialPacket    "udp6" ""
DialStream    "tcp6" ""
ListenPacket  "udp6" "[2001:db8::3]:0"
ListenStream  "tcp6" "[2001:db8::3]:0"
