type	IPv6
string	[2001:db8::7]:22
host	[2001:db8::7]:22
address	2001:db8::7
port	22
netmask	ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff
network	2001:db8::7
mask_bits	128
binary	00100000000000010000110110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111
hex	20010db8000000000000000000000007
first_usable	2001:db8::7
last_usable	2001:db8::7
octets	32 1 13 184 0 0 0 0 0 0 0 0 0 0 0 7
size	1
uint128	42540766411282592856903984951653826567
DialPacket	"udp6" "[2001:db8::7]:22"
DialStream	"tcp6" "[2001:db8::7]:22"
ListenPacket	"udp6" "[2001:db8::7]:22"
ListenStream	"tcp6" "[2001:db8::7]:22"
